no_a,no_b,peso
Elm,GDScript,0.1907
Bash / Shell Script,GDScript,0.1906
GDScript,GraphQL,0.1906
GraphQL,Mojo,0.1906
C++,Q (kdb+),0.1906
GDScript,Q (kdb+),0.1906
GDScript,"SQL,",0.1905
Haxe,PowerShell,0.1905
PowerShell,Swift,0.1905
Haskell,Wolfram Language,0.1905
GDScript,OCaml,0.1905
Lua,Rust,0.1905
Mojo,Q (kdb+),0.1905
Mojo,"SQL,",0.1905
Kotlin,R,0.1905
Java,R,0.1904
"PL/pgSQL,",Python,0.1904
Kotlin,Scheme,0.1904
C++,Elixir,0.1904
Erlang,Scala,0.1904
Perl,Smalltalk (Pharo),0.1903
GDScript,PL/I,0.1903
GDScript,Verilog,0.1902
"Fortran,",Smalltalk (Pharo),0.1902
Forth,R,0.1902
Ruby,Solidity,0.1902
Clojure,Forth,0.1902
Ada 2022,GDScript,0.1902
GDScript,NATURAL,0.1902
Erlang,GDScript,0.1902
Dart,R,0.1902
LabVIEW,Mojo,0.1901
Kotlin,Wolfram Language,0.1901
Mojo,Perl,0.1901
GDScript,LabVIEW,0.1901
Julia,Perl,0.1899
Erlang,Perl,0.1898
Elm,R,0.1898
C,Zig,0.1897
HiveQL (Apache Hive),Python,0.1896
Nim,Solidity,0.1895
Ruby,X++,0.1895
Lua,X++,0.1889
C#,Objective-C,0.1889
Assembly (x86),LabVIEW,0.1888
C#,Ruby,0.1883
HiveQL (Apache Hive),R,0.1883
Scala,Smalltalk (Pharo),0.1882
APL,"COBOL,",0.1879
Julia,Swift,0.1876
F#,Q (kdb+),0.1876
D,"PL/pgSQL,",0.1875
Groovy,VHDL,0.1875
Groovy,SystemVerilog,0.1875
D,"PL/SQL,",0.1875
GDScript,RPG,0.1875
APL,GDScript,0.1875
"PL/SQL,",SAS,0.1875
C++,"Transact-SQL, (T-SQL,)",0.1875
Stata,"Transact-SQL, (T-SQL,)",0.1875
GDScript,"PL/pgSQL,",0.1875
SAS,"Transact-SQL, (T-SQL,)",0.1875
Mojo,"Transact-SQL, (T-SQL,)",0.1875
"PL/SQL,",Stata,0.1875
Mojo,"PL/pgSQL,",0.1875
Mojo,"PL/SQL,",0.1875
APL,C++,0.1875
D,"Transact-SQL, (T-SQL,)",0.1875
Assembly (x86),Solidity,0.1873
Julia,Zig,0.1872
Perl,Stata,0.1871
Groovy,Swift,0.187
Rust,Wolfram Language,0.1869
"Delphi (Object Pascal,)",Nim,0.1859
GAMS,Wolfram Language,0.1857
Erlang,Tcl,0.1854
"Delphi (Object Pascal,)",Ruby,0.1849
Bash / Shell Script,Lua,0.1848
PL/I,R,0.1847
Lua,"PL/pgSQL,",0.1847
C,PL/I,0.1844
C,Java,0.1844
Python,Zig,0.1843
"COBOL,",Nim,0.1843
"Fortran,",Lua,0.1842
Rust,Scheme,0.1841
"Fortran,",Python,0.184
ABAP,Nim,0.1838
R,Tcl,0.1837
CUDA C/C++,Groovy,0.1835
Racket,Tcl,0.1829
Clojure,JavaScript,0.1827
MQL5,Stata,0.1827
Nim,OCaml,0.1825
MATLAB,Zig,0.1825
Forth,Prolog,0.1824
Python,Rexx,0.1823
CFML (ColdFusion),Python,0.1822
Kotlin,Nim,0.1822
Crystal,Python,0.1821
Elm,Ruby,0.182
Scala,Wolfram Language,0.1817
Erlang,OCaml,0.1816
Nim,Swift,0.1816
AWK,Objective-C,0.1815
APL,"SQL,",0.1814
Julia,Tcl,0.1814
C,D,0.1814
R,Rust,0.1813
PowerShell,SystemVerilog,0.1813
C#,"CommonLisp,",0.1811
CUDA C/C++,Python,0.1811
CUDA C/C++,Lua,0.181
Forth,Ruby,0.181
Haskell,Ruby,0.181
MQL5,Smalltalk (Pharo),0.1809
Forth,Wolfram Language,0.1807
OpenCL,PowerShell,0.1807
PL/I,SAS,0.1807
CUDA C/C++,Stata,0.1805
NATURAL,Q (kdb+),0.1801
C,SystemVerilog,0.1801
CFML (ColdFusion),Stata,0.1801
Python,Verilog,0.18
PL/I,Scheme,0.18
Lua,MQL5,0.1795
R,X++,0.1795
MQL5,Wolfram Language,0.1793
APL,LabVIEW,0.1793
"COBOL,",Ruby,0.1792
Stata,Zig,0.1792
Assembly (x86),SystemVerilog,0.1791
Haskell,PowerShell,0.179
CFML (ColdFusion),Lua,0.1788
ABAP,Ruby,0.1788
Julia,TypeScript,0.1788
MATLAB,RPG,0.1787
Lua,TypeScript,0.1786
JavaScript,Lua,0.1786
CFML (ColdFusion),Smalltalk (Pharo),0.1785
Solidity,Stata,0.1785
Scala,Scheme,0.1784
JavaScript,Stata,0.1784
C#,Wolfram Language,0.1783
Lua,Solidity,0.1783
"Delphi (Object Pascal,)",PowerShell,0.1782
Erlang,Zig,0.178
OCaml,Ruby,0.1775
PL/I,PowerShell,0.1774
CFML (ColdFusion),Wolfram Language,0.1772
Lua,SystemVerilog,0.1771
CFML (ColdFusion),Solidity,0.1771
Ada 2022,Nim,0.1766
Elm,PowerShell,0.1761
AWK,C,0.176
C,PHP,0.1759
Solidity,Wolfram Language,0.1759
R,Zig,0.1756
Java,Wolfram Language,0.1754
Assembly (x86),GAMS,0.175
Java,Lua,0.175
PHP,Ruby,0.1749
Java,Python,0.1748
"CommonLisp,",OCaml,0.1748
Forth,Lua,0.1748
C,TypeScript,0.1748
Erlang,Java,0.1747
"Fortran,",Wolfram Language,0.1747
C#,Python,0.1744
Forth,Smalltalk (Pharo),0.1744
Smalltalk (Pharo),X++,0.1741
Clojure,Perl,0.1739
ABAP,Objective-C,0.1738
OpenCL,Smalltalk (Pharo),0.1736
Clojure,PL/I,0.1734
Ada 2022,R,0.1734
Assembly (x86),"SQL,",0.1733
Wolfram Language,X++,0.1733
Haskell,Nim,0.1733
Clojure,Tcl,0.1733
C#,PowerShell,0.1732
Elixir,NATURAL,0.1731
Apex,Racket,0.173
Crystal,Objective-C,0.1729
ABAP,Python,0.1727
"COBOL,",Groovy,0.1727
Clojure,Verilog,0.1724
Clojure,"Transact-SQL, (T-SQL,)",0.1723
ABAP,Groovy,0.1722
Groovy,NATURAL,0.1721
Prolog,RPG,0.1721
Forth,Objective-C,0.1721
Objective-C,Visual Basic .NET,0.172
R,TypeScript,0.1719
TypeScript,Wolfram Language,0.1719
Groovy,Verilog,0.1718
"COBOL,",Q (kdb+),0.1717
C,"COBOL,",0.1716
"COBOL,",MATLAB,0.1716
"COBOL,",Prolog,0.1713
GAMS,Stata,0.1713
Groovy,LabVIEW,0.1713
ABAP,C,0.1712
GAMS,SAS,0.1711
"CommonLisp,",Dart,0.1709
MQL5,R,0.1709
Groovy,Visual Basic .NET,0.1708
"COBOL,",Python,0.1707
Rexx,Stata,0.1706
Lua,Swift,0.1706
Clojure,Swift,0.1706
Elixir,Haskell,0.1705
C#,R,0.1705
GAMS,Q (kdb+),0.1705
Python,Swift,0.1704
Elixir,PL/I,0.1704
LabVIEW,SAS,0.1704
Java,Scheme,0.1703
Scheme,Zig,0.1703
MQL5,Scheme,0.1702
"CommonLisp,",PL/I,0.1702
Lua,OCaml,0.1702
CFML (ColdFusion),R,0.1702
MATLAB,OCaml,0.1701
Lua,Visual Basic .NET,0.1701
Lua,VBA,0.1701
F#,Wolfram Language,0.1699
Elixir,Zig,0.1699
C,Kotlin,0.1698
Kotlin,MATLAB,0.1698
Erlang,F#,0.1697
MATLAB,Perl,0.1697
PowerShell,Zig,0.1697
R,Solidity,0.1697
C,Perl,0.1697
Kotlin,Python,0.1697
Elixir,Elm,0.1696
Dart,MATLAB,0.1695
Racket,Solidity,0.1695
AWK,MATLAB,0.1694
LabVIEW,Prolog,0.1694
Dart,Python,0.1694
JavaScript,Objective-C,0.1694
Julia,Kotlin,0.1692
Bash / Shell Script,"Fortran,",0.1692
Python,"SQL,",0.1692
C,JavaScript,0.1692
Ada 2022,PowerShell,0.169
"Fortran,",PowerShell,0.1689
AWK,"COBOL,",0.1687
Q (kdb+),Visual Basic .NET,0.1683
Q (kdb+),VBA,0.1683
R,"SQL,",0.1683
Apex,C,0.1683
CUDA C/C++,Scheme,0.1682
CFML (ColdFusion),Scheme,0.1679
Erlang,SystemVerilog,0.1679
Python,Solidity,0.1671
PHP,PowerShell,0.1669
OCaml,Racket,0.1669
SAS,X++,0.1668
APL,RPG,0.1667
Nim,RPG,0.1667
Dart,Stata,0.1667
Assembly (x86),RPG,0.1667
APL,Haskell,0.1667
APL,Elm,0.1667
Scheme,TypeScript,0.1667
OpenCL,Ruby,0.1667
"PL/pgSQL,",Prolog,0.1667
Assembly (x86),Java,0.1666
CFML (ColdFusion),X++,0.1665
Scheme,Solidity,0.1665
JavaScript,MATLAB,0.1663
CUDA C/C++,PowerShell,0.1662
Forth,Groovy,0.1662
MATLAB,Tcl,0.1661
NATURAL,Scheme,0.1659
"COBOL,","CommonLisp,",0.1659
Erlang,HiveQL (Apache Hive),0.1658
Dart,Smalltalk (Pharo),0.1655
ABAP,"CommonLisp,",0.1655
GraphQL,Stata,0.1653
HiveQL (Apache Hive),Lua,0.1651
Groovy,OpenCL,0.1651
CFML (ColdFusion),Nim,0.165
Clojure,HiveQL (Apache Hive),0.1649
"COBOL,",Wolfram Language,0.1649
"CommonLisp,",Swift,0.1648
Haskell,Q (kdb+),0.1648
Clojure,Zig,0.1647
ABAP,Wolfram Language,0.1645
Dart,Racket,0.1645
Clojure,SystemVerilog,0.1645
MATLAB,Scala,0.1644
R,Swift,0.1644
NATURAL,PowerShell,0.1643
"CommonLisp,",Visual Basic .NET,0.1642
CUDA C/C++,Erlang,0.1641
Swift,Wolfram Language,0.164
"CommonLisp,",Kotlin,0.164
Ruby,Zig,0.164
"CommonLisp,",OpenCL,0.1639
R,VBA,0.1639
Lua,PL/I,0.1639
R,Visual Basic .NET,0.1639
Dart,Erlang,0.1638
Racket,Rust,0.1637
Clojure,"PL/pgSQL,",0.1637
NATURAL,Objective-C,0.1637
Scheme,X++,0.1636
MATLAB,Rust,0.1636
C,OpenCL,0.1635
PL/I,Smalltalk (Pharo),0.1635
AWK,R,0.1634
Nim,X++,0.1634
PL/I,Racket,0.1633
Elixir,Forth,0.1631
C#,Smalltalk (Pharo),0.163
Clojure,PHP,0.1627
F#,Racket,0.1626
C#,Racket,0.1624
OpenCL,Wolfram Language,0.1624
Haxe,Ruby,0.1619
APL,Scala,0.1617
"Fortran,",Stata,0.1617
C,Tcl,0.1616
D,Tcl,0.1616
"CommonLisp,","Delphi (Object Pascal,)",0.1613
"CommonLisp,",Haxe,0.1611
Mojo,Tcl,0.161
ABAP,SAS,0.1609
"COBOL,",Smalltalk (Pharo),0.1609
Racket,X++,0.1608
Rust,Stata,0.1606
C#,Scheme,0.1605
C#,Lua,0.1604
Clojure,CUDA C/C++,0.1604
Go,Stata,0.1603
Nim,Visual Basic .NET,0.1602
Assembly (x86),OCaml,0.1602
Nim,VBA,0.1602
"CommonLisp,",Scala,0.1601
"CommonLisp,",PHP,0.1601
PHP,Smalltalk (Pharo),0.16
Stata,VBA,0.1599
Stata,Visual Basic .NET,0.1599
C,Scala,0.1599
Smalltalk (Pharo),Swift,0.1599
OCaml,SAS,0.1598
SAS,VBA,0.1597
Clojure,LabVIEW,0.1597
SAS,Visual Basic .NET,0.1597
Kotlin,Stata,0.1596
JavaScript,R,0.1596
Ruby,VHDL,0.1596
AWK,Nim,0.1595
Smalltalk (Pharo),Visual Basic .NET,0.1595
Elixir,VHDL,0.1595
ABAP,Assembly (x86),0.1595
Erlang,Swift,0.1593
Rust,Smalltalk (Pharo),0.1593
Lua,Verilog,0.1593
Crystal,Erlang,0.1593
Julia,Scala,0.1592
Bash / Shell Script,Ruby,0.1592
Kotlin,Smalltalk (Pharo),0.1592
Erlang,Go,0.1591
Ada 2022,Smalltalk (Pharo),0.1591
Apex,Ruby,0.1591
Groovy,"PL/SQL,",0.159
Python,X++,0.159
CUDA C/C++,Elixir,0.1589
AWK,Python,0.1589
Ada 2022,Ruby,0.1588
APL,"PL/pgSQL,",0.1588
AWK,Scheme,0.1588
Erlang,Kotlin,0.1587
"Fortran,",Ruby,0.1587
"CommonLisp,",MQL5,0.1585
Apex,Bash / Shell Script,0.1583
"Delphi (Object Pascal,)",Wolfram Language,0.1583
JavaScript,Julia,0.1582
CFML (ColdFusion),D,0.1582
Haxe,Wolfram Language,0.1581
Bash / Shell Script,"CommonLisp,",0.1581
Apex,"CommonLisp,",0.158
Q (kdb+),Swift,0.158
CUDA C/C++,Smalltalk (Pharo),0.1579
LabVIEW,Python,0.1579
OpenCL,Stata,0.1578
C#,SAS,0.1577
Julia,PL/I,0.1576
PHP,SAS,0.1575
APL,F#,0.1573
Bash / Shell Script,Clojure,0.1572
"COBOL,",Racket,0.1572
Elixir,HiveQL (Apache Hive),0.1571
Elixir,Verilog,0.1571
ABAP,Racket,0.1569
Elixir,SystemVerilog,0.1568
Groovy,"Transact-SQL, (T-SQL,)",0.1567
F#,MATLAB,0.1566
APL,HiveQL (Apache Hive),0.1565
C#,Nim,0.1565
NATURAL,Python,0.1565
ABAP,Clojure,0.1564
Haxe,Python,0.1564
Crystal,Racket,0.1564
MATLAB,TypeScript,0.1562
OpenCL,R,0.1562
"PL/SQL,",Ruby,0.1562
Elm,Wolfram Language,0.1561
Elixir,"PL/pgSQL,",0.1561
Wolfram Language,Zig,0.1561
Elm,Smalltalk (Pharo),0.156
CFML (ColdFusion),"CommonLisp,",0.1559
Racket,VBA,0.1558
Java,MATLAB,0.1558
Stata,Tcl,0.1558
Racket,Visual Basic .NET,0.1558
Bash / Shell Script,Wolfram Language,0.1557
Clojure,Dart,0.1557
Forth,MATLAB,0.1557
Apex,Wolfram Language,0.1556
"SQL,",Wolfram Language,0.1556
Assembly (x86),PHP,0.1555
CUDA C/C++,SAS,0.1555
JavaScript,Smalltalk (Pharo),0.1554
Elixir,VBA,0.1553
Clojure,Solidity,0.1553
Elm,Q (kdb+),0.1553
Haxe,SAS,0.1552
Java,Racket,0.1552
Elixir,X++,0.1551
Haskell,Lua,0.1548
CFML (ColdFusion),Dart,0.1547
Haskell,MATLAB,0.1547
"COBOL,",Scheme,0.1546
Ada 2022,Clojure,0.1546
Haskell,Python,0.1545
"Delphi (Object Pascal,)",Lua,0.1545
Perl,SAS,0.1544
"CommonLisp,",Solidity,0.1543
Clojure,"COBOL,",0.1543
ABAP,Scheme,0.1542
"Delphi (Object Pascal,)",Python,0.1542
Lua,PHP,0.1541
Erlang,OpenCL,0.1541
Clojure,VHDL,0.154
Java,Stata,0.154
"Delphi (Object Pascal,)",Racket,0.1539
Ada 2022,Julia,0.1539
Elm,Lua,0.1537
CUDA C/C++,Wolfram Language,0.1537
"CommonLisp,",NATURAL,0.1537
Assembly (x86),CUDA C/C++,0.1537
Clojure,"SQL,",0.1537
Racket,Verilog,0.1536
Elm,MATLAB,0.1536
Go,Python,0.1536
Erlang,VBA,0.1536
Scheme,Swift,0.1536
Go,Scheme,0.1535
Apex,Lua,0.1535
Apex,Python,0.1533
JavaScript,SAS,0.1532
OCaml,Scheme,0.1532
Elixir,Swift,0.1532
CUDA C/C++,Ruby,0.1532
Elixir,Go,0.1531
Ada 2022,Lua,0.1531
Crystal,PowerShell,0.1531
Ada 2022,MATLAB,0.153
PHP,Racket,0.1529
APL,"Fortran,",0.1529
Go,PowerShell,0.1529
LabVIEW,Q (kdb+),0.1528
Elixir,OCaml,0.1528
Assembly (x86),HCL (Terraform),0.1528
Nim,OpenCL,0.1528
Java,Smalltalk (Pharo),0.1527
OCaml,PowerShell,0.1527
Apex,SAS,0.1526
Elixir,Kotlin,0.1526
OpenCL,Scheme,0.1526
NATURAL,Ruby,0.1526
Elixir,Perl,0.1525
Erlang,PL/I,0.1524
MQL5,Racket,0.1524
Dart,Elixir,0.1523
Assembly (x86),Elm,0.1521
Haxe,R,0.1521
"CommonLisp,",RPG,0.1519
F#,Objective-C,0.1519
Clojure,RPG,0.1518
NATURAL,Wolfram Language,0.1516
Kotlin,Q (kdb+),0.1515
Assembly (x86),JavaScript,0.1515
Ada 2022,Racket,0.1512
APL,NATURAL,0.1512
Bash / Shell Script,Racket,0.1511
"CommonLisp,",X++,0.1511
C#,Stata,0.1511
SAS,Solidity,0.1511
AWK,"CommonLisp,",0.1505
Perl,Q (kdb+),0.1505
F#,Groovy,0.1505
Clojure,HCL (Terraform),0.1504
Clojure,OpenCL,0.1504
MATLAB,MQL5,0.1502
JavaScript,Ruby,0.1502
Haskell,Objective-C,0.1501
MQL5,Python,0.1501
CFML (ColdFusion),Racket,0.1501
Lua,RPG,0.15
Lua,"PL/SQL,",0.15
Ruby,SystemVerilog,0.15
APL,Kotlin,0.15
"Delphi (Object Pascal,)",R,0.15
"PL/pgSQL,",Ruby,0.15
APL,Dart,0.15
Objective-C,TypeScript,0.15
MATLAB,"Transact-SQL, (T-SQL,)",0.15
MATLAB,"PL/SQL,",0.15
APL,Swift,0.15
APL,Perl,0.15
Lua,"Transact-SQL, (T-SQL,)",0.15
Clojure,Crystal,0.1499
SAS,Zig,0.1498
Elixir,OpenCL,0.1498
C,F#,0.1497
PHP,R,0.1497
Clojure,Go,0.1497
CUDA C/C++,MATLAB,0.1496
Lua,Rexx,0.1496
Java,SAS,0.1496
CFML (ColdFusion),MATLAB,0.1495
MATLAB,Rexx,0.1495
PowerShell,Rexx,0.1494
SAS,Verilog,0.1494
Clojure,OCaml,0.1493
Apex,R,0.1491
MATLAB,Solidity,0.1491
HCL (Terraform),Python,0.1491
CFML (ColdFusion),Mojo,0.1491
Bash / Shell Script,R,0.1491
Go,Ruby,0.149
Erlang,X++,0.149
Clojure,Kotlin,0.149
HiveQL (Apache Hive),Wolfram Language,0.1489
"CommonLisp,","Fortran,",0.1489
F#,Julia,0.1489
HCL (Terraform),Wolfram Language,0.1489
GraphQL,Wolfram Language,0.1488
Ada 2022,Elixir,0.1488
CFML (ColdFusion),Kotlin,0.1488
Ruby,Visual Basic .NET,0.1487
C#,Clojure,0.1487
Ruby,VBA,0.1487
"Fortran,",R,0.1486
AWK,Wolfram Language,0.1486
"COBOL,",Elixir,0.1486
HCL (Terraform),Smalltalk (Pharo),0.1486
Ada 2022,Wolfram Language,0.1484
Julia,Solidity,0.1484
Rust,SAS,0.1484
C#,MATLAB,0.1483
NATURAL,Racket,0.1482
MATLAB,X++,0.1482
Kotlin,Perl,0.1482
AWK,Ruby,0.1482
Dart,SAS,0.1481
Forth,Julia,0.1481
JavaScript,Python,0.1479
Tcl,Zig,0.1477
Q (kdb+),X++,0.147
C#,Erlang,0.147
Elm,Nim,0.147
Crystal,Lua,0.1469
Bash / Shell Script,Nim,0.1469
Apex,Nim,0.1468
MATLAB,Swift,0.1467
"PL/SQL,",PowerShell,0.1467
"CommonLisp,",Rexx,0.1467
Go,MATLAB,0.1466
F#,Smalltalk (Pharo),0.1465
CUDA C/C++,R,0.1464
R,Rexx,0.1464
"Fortran,",Nim,0.1462
MATLAB,Visual Basic .NET,0.1462
MATLAB,VBA,0.1462
Python,VBA,0.1461
Python,Visual Basic .NET,0.1461
JavaScript,MQL5,0.146
Clojure,GraphQL,0.146
GraphQL,Lua,0.146
AWK,Racket,0.146
"CommonLisp,","PL/SQL,",0.1458
APL,Rust,0.1458
"PL/SQL,",R,0.1458
Smalltalk (Pharo),TypeScript,0.1458
Racket,RPG,0.1458
Stata,TypeScript,0.1458
R,"Transact-SQL, (T-SQL,)",0.1458
R,RPG,0.1458
"CommonLisp,","Transact-SQL, (T-SQL,)",0.1458
Erlang,TypeScript,0.1458
MATLAB,"PL/pgSQL,",0.1458
APL,Tcl,0.1458
PL/I,Ruby,0.1455
Lua,"SQL,",0.1454
Nim,VHDL,0.1452
PowerShell,"Transact-SQL, (T-SQL,)",0.1452
CUDA C/C++,Nim,0.145
Nim,Rexx,0.1449
GraphQL,Python,0.1449
"CommonLisp,",Crystal,0.1448
AWK,PL/I,0.1445
Clojure,X++,0.1445
GraphQL,R,0.1445
LabVIEW,PowerShell,0.1444
Crystal,R,0.1444
Groovy,Haskell,0.1444
Go,R,0.1442
Elm,Objective-C,0.1441
LabVIEW,Smalltalk (Pharo),0.1438
Go,Wolfram Language,0.1438
PL/I,Python,0.1437
OCaml,Wolfram Language,0.1435
Visual Basic .NET,Wolfram Language,0.1435
VBA,Wolfram Language,0.1435
Objective-C,"SQL,",0.1433
"Fortran,",Racket,0.1432
Nim,"PL/SQL,",0.1429
R,SystemVerilog,0.1429
OpenCL,Racket,0.1429
SystemVerilog,Wolfram Language,0.1429
"PL/pgSQL,",Wolfram Language,0.1429
"CommonLisp,","PL/pgSQL,",0.1429
Nim,"Transact-SQL, (T-SQL,)",0.1429
APL,Zig,0.1429
"CommonLisp,",SystemVerilog,0.1429
APL,TypeScript,0.1429
Elixir,TypeScript,0.1429
LabVIEW,Lua,0.1425
Assembly (x86),OpenCL,0.1422
Racket,Rexx,0.1422
Haskell,Stata,0.1421
Forth,SAS,0.1421
Elixir,RPG,0.1419
Elixir,GraphQL,0.1418
Groovy,Nim,0.1417
D,Forth,0.1415
PL/I,Wolfram Language,0.1415
Elixir,"SQL,",0.1414
Haskell,SAS,0.1413
LabVIEW,R,0.1412
Racket,Swift,0.141
C,LabVIEW,0.1409
"Delphi (Object Pascal,)",Stata,0.1409
C,Haskell,0.1408
C#,Julia,0.1407
Haxe,Julia,0.1407
Haxe,Stata,0.1407
MATLAB,OpenCL,0.1406
Nim,SystemVerilog,0.1406
Clojure,TypeScript,0.1406
"PL/SQL,",Racket,0.1406
Racket,"Transact-SQL, (T-SQL,)",0.1406
APL,Java,0.1406
Nim,"PL/pgSQL,",0.1406
Clojure,MQL5,0.1403
Kotlin,Racket,0.1403
"Delphi (Object Pascal,)",SAS,0.1402
APL,GraphQL,0.1401
Clojure,"Delphi (Object Pascal,)",0.1401
Haskell,Prolog,0.14
Clojure,Haxe,0.1399
LabVIEW,Objective-C,0.1399
Elm,Groovy,0.1398
Racket,Scala,0.1397
PHP,Stata,0.1397
CFML (ColdFusion),MQL5,0.1393
MQL5,Prolog,0.1391
Groovy,"SQL,",0.1391
Elixir,LabVIEW,0.139
Racket,SystemVerilog,0.1389
C,C++,0.1389
"PL/pgSQL,",Racket,0.1389
"Delphi (Object Pascal,)",Prolog,0.1389
Racket,Zig,0.1389
"Delphi (Object Pascal,)",Scheme,0.1387
Haxe,Prolog,0.1387
C#,Elixir,0.1387
Haxe,Scheme,0.1386
"CommonLisp,",CUDA C/C++,0.1384
Bash / Shell Script,"Delphi (Object Pascal,)",0.1381
Elm,Stata,0.138
C#,Prolog,0.138
Assembly (x86),Haxe,0.138
Bash / Shell Script,Haxe,0.138
PHP,Prolog,0.1379
CFML (ColdFusion),Clojure,0.1378
CFML (ColdFusion),SAS,0.1378
PHP,Scheme,0.1377
Apex,Stata,0.1375
Elm,SAS,0.1374
"CommonLisp,",JavaScript,0.1374
C,Elm,0.1371
"CommonLisp,","SQL,",0.1371
CUDA C/C++,Prolog,0.1371
Bash / Shell Script,SAS,0.137
Apex,Clojure,0.1369
CFML (ColdFusion),Prolog,0.1368
Bash / Shell Script,C,0.1366
Erlang,MQL5,0.1366
CUDA C/C++,Racket,0.1366
C,"SQL,",0.1365
PHP,Wolfram Language,0.1365
AWK,Groovy,0.1365
Elm,Prolog,0.1364
"Delphi (Object Pascal,)",Erlang,0.1364
C++,CFML (ColdFusion),0.1363
Erlang,Haxe,0.1363
JavaScript,Prolog,0.1362
Apex,Prolog,0.136
Bash / Shell Script,Prolog,0.136
Smalltalk (Pharo),"SQL,",0.136
JavaScript,Scheme,0.136
Stata,Verilog,0.136
Bash / Shell Script,Scheme,0.1359
Elm,Racket,0.1359
Apex,Scheme,0.1358
Scheme,"SQL,",0.1358
"CommonLisp,",Verilog,0.1357
JavaScript,Racket,0.1357
Erlang,PHP,0.1356
Assembly (x86),Tcl,0.1355
APL,C#,0.1354
Racket,TypeScript,0.1354
Racket,"SQL,",0.1354
Prolog,Solidity,0.1353
JavaScript,Wolfram Language,0.135
APL,X++,0.135
NATURAL,Smalltalk (Pharo),0.1348
NATURAL,Prolog,0.1347
Smalltalk (Pharo),Verilog,0.1347
Java,Prolog,0.1347
CFML (ColdFusion),Erlang,0.1347
Prolog,Verilog,0.1347
AWK,Clojure,0.1346
Scheme,Verilog,0.1345
Prolog,Rust,0.1343
Erlang,JavaScript,0.1342
JavaScript,PowerShell,0.1342
Dart,Prolog,0.1341
Objective-C,RPG,0.1341
D,PHP,0.1341
Assembly (x86),Haskell,0.1341
Erlang,"SQL,",0.134
Apex,Erlang,0.134
PowerShell,"SQL,",0.134
Bash / Shell Script,Erlang,0.134
AWK,Smalltalk (Pharo),0.1339
C++,PHP,0.1339
AWK,Prolog,0.1339
Verilog,Wolfram Language,0.1337
Assembly (x86),MQL5,0.1336
Erlang,Solidity,0.1335
Assembly (x86),"Delphi (Object Pascal,)",0.1335
PowerShell,Verilog,0.133
Erlang,NATURAL,0.133
Assembly (x86),C#,0.1329
Assembly (x86),Crystal,0.1327
Assembly (x86),Zig,0.1326
Assembly (x86),Swift,0.1326
CFML (ColdFusion),Haxe,0.1326
Assembly (x86),F#,0.1326
OpenCL,SAS,0.1325
Prolog,X++,0.1324
Assembly (x86),Go,0.1323
AWK,Erlang,0.1323
Assembly (x86),CFML (ColdFusion),0.1322
Assembly (x86),Rexx,0.1322
Assembly (x86),Scala,0.1322
Assembly (x86),HiveQL (Apache Hive),0.1321
Groovy,RPG,0.132
OpenCL,Prolog,0.1319
C++,Perl,0.1319
Assembly (x86),GraphQL,0.1319
GAMS,Objective-C,0.1318
Apex,Assembly (x86),0.1317
Haxe,MATLAB,0.1316
Assembly (x86),Visual Basic .NET,0.1316
Assembly (x86),VBA,0.1316
Objective-C,VHDL,0.1312
Assembly (x86),Kotlin,0.1311
Assembly (x86),PL/I,0.1311
Assembly (x86),NATURAL,0.1309
Assembly (x86),Perl,0.1309
Ada 2022,Assembly (x86),0.1309
Haxe,Q (kdb+),0.1309
HCL (Terraform),Objective-C,0.1308
HiveQL (Apache Hive),Objective-C,0.1308
Objective-C,Rexx,0.1308
C,RPG,0.1307
Assembly (x86),"Fortran,",0.1306
Assembly (x86),Dart,0.1306
Assembly (x86),Rust,0.1306
RPG,Smalltalk (Pharo),0.1305
SAS,Tcl,0.1305
GraphQL,Objective-C,0.1305
Elixir,Haxe,0.1304
Assembly (x86),AWK,0.1304
Objective-C,OCaml,0.1304
RPG,Scheme,0.1303
GAMS,Groovy,0.1302
Prolog,Tcl,0.13
GAMS,Nim,0.13
Objective-C,PL/I,0.1299
RPG,Wolfram Language,0.1299
Groovy,Zig,0.1298
Q (kdb+),Tcl,0.1298
Ada 2022,Objective-C,0.1298
Nim,PHP,0.1297
Go,Groovy,0.1296
Groovy,HCL (Terraform),0.1295
"CommonLisp,",GAMS,0.1295
Groovy,HiveQL (Apache Hive),0.1295
PowerShell,RPG,0.1295
Assembly (x86),X++,0.1295
Erlang,RPG,0.1295
GAMS,Lua,0.1294
Clojure,GAMS,0.1294
HiveQL (Apache Hive),Nim,0.1293
"Delphi (Object Pascal,)",MATLAB,0.1293
GraphQL,Groovy,0.1293
Crystal,Stata,0.1293
C,GAMS,0.1293
HCL (Terraform),Nim,0.1293
ABAP,Prolog,0.1293
Stata,Swift,0.1292
GAMS,Python,0.1292
Groovy,OCaml,0.1292
Stata,VHDL,0.1292
GraphQL,Nim,0.1291
GAMS,Smalltalk (Pharo),0.1291
"CommonLisp,",VHDL,0.1291
JavaScript,Nim,0.1291
SAS,VHDL,0.1291
GAMS,R,0.1291
Crystal,SAS,0.1291
GAMS,Scheme,0.129
ABAP,Q (kdb+),0.129
Nim,"SQL,",0.129
SAS,Swift,0.129
Lua,VHDL,0.129
MATLAB,PHP,0.129
Crystal,MATLAB,0.129
MATLAB,VHDL,0.1289
